airport_cd,airport_nm,city_nm,city_cd,country_cd,region_cd,timezone,latitude,longitude,attributes
AUA,Queen Beatrix International Airport,Oranjestad,AUA,AW,AW-U-A,America/Aruba,12.5014,-70.015198,"coastal, resort"
BON,Flamingo International Airport,"Kralendijk, Bonaire",BON,BQ,BQ-U-A,America/Kralendijk,12.131,-68.268501,"coastal, resort"
NAS,Lynden Pindling International Airport,Nassau,NAS,BS,BS-NP,America/Nassau,25.039,-77.466202,"coastal, resort"
BZE,Philip S. W. Goldson International Airport,Belize City,BZE,BZ,BZ-BZ,America/Belize,17.539951,-88.303556,"coastal, nature, history"
YEG,Edmonton International Airport,Edmonton,YEA,CA,CA-AB,America/Edmonton,53.3097,-113.580002,"city, nature"
YYC,Calgary International Airport,Calgary,YYC,CA,CA-AB,America/Edmonton,51.118822,-114.009933,"city, nature, culture"
YVR,Vancouver International Airport,Vancouver,YVR,CA,CA-BC,America/Vancouver,49.193901062,-123.183998108,"city, coastal, nature, foodie, tech"
YWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,YWG,CA,CA-MB,America/Winnipeg,49.909999847399995,-97.2398986816,"city, nature"
YYT,St. John's International Airport,St. John's,YYT,CA,CA-NL,America/St_Johns,47.618599,-52.7519,"coastal, nature, history"
YHZ,Halifax / Stanfield International Airport,Halifax,YHZ,CA,CA-NS,America/Halifax,44.8807983398,-63.5085983276,"coastal, history, nature"
YOW,Ottawa Macdonald-Cartier International Airport,Ottawa,YOW,CA,CA-ON,America/Toronto,45.322498,-75.669197,"city, history, culture"
YYZ,Toronto Lester B. Pearson International Airport,Toronto,YTO,CA,CA-ON,America/Toronto,43.6772,-79.6306,"city, culture, shopping, tech"
YUL,Montreal / Pierre Elliott Trudeau International Airport,Montréal,YMQ,CA,CA-QC,America/Montreal,45.467837,-73.742294,"city, culture, foodie, shopping"
YQB,Quebec Jean Lesage International Airport,Quebec,YQB,CA,CA-QC,America/Montreal,46.7911,-71.393303,"city, history, culture, nature"
LIR,Guanacaste Airport,Liberia,LIR,CR,CR-G,America/Costa_Rica,10.5933,-85.544403,"coastal, nature, resort"
CUR,Hato International Airport,Willemstad,CUR,CW,CW-U-A,America/Curacao,12.1889,-68.959801,"coastal, resort"
SDQ,Las Américas International Airport,Santo Domingo,SDQ,DO,DO-01,America/Santo_Domingo,18.42970085144,-69.668899536133,"city, history, culture"
PUJ,Punta Cana International Airport,Punta Cana,PUJ,DO,DO-11,America/Santo_Domingo,18.5674,-68.363403,"resort, coastal"
PTP,Pointe-à-Pitre Le Raizet International  Airport,Pointe-à-Pitre,PTP,GP,GP-U-A,America/Guadeloupe,16.265301,-61.531799,"coastal, resort"
GUA,La Aurora Airport,Guatemala City,GUA,GT,GT-GU,America/Guatemala,14.5833,-90.527496,"city, history, nature"
PAP,Toussaint Louverture International Airport,Port-au-Prince,PAP,HT,HT-OU,America/Port-au-Prince,18.58,-72.292503,"city, history"
KIN,Norman Manley International Airport,Kingston,KIN,JM,JM-01,America/Jamaica,17.935699462890625,-76.7874984741211,"city, coastal, history"
GCM,Owen Roberts International Airport,George Town,GCM,KY,KY-GC,America/Cayman,19.292801,-81.357697,"coastal, resort"
UVF,Hewanorra International Airport,Vieux Fort,SLU,LC,LC-11,America/St_Lucia,13.7332,-60.952599,"coastal, resort"
FDF,Martinique Aimé Césaire International Airport,Fort-de-France,FDF,MQ,MQ-U-A,America/Martinique,14.591,-61.003201,"coastal, city"
TIJ,Aeropuerto Internacional Gral. Abelardo Rodriguez,Ciudad de Tijuana,TIJ,MX,MX-BCN,America/Tijuana,32.545963,-116.975856,"coastal, city"
SJD,Aeropuerto Internacional de Los Cabos,San José del Cabo,SJD,MX,MX-BCS,America/Mazatlan,23.151919,-109.720731,"coastal, resort"
MEX,Benito Juárez International Airport,Ciudad de México,MEX,MX,MX-DIF,America/Mexico_City,19.435137,-99.071328,"city, history, tech, foodie"
GDL,Guadalajara International Airport,Guadalajara,GDL,MX,MX-JAL,America/Mexico_City,20.523342,-103.310108,"city, culture, foodie"
PVR,Puerto Vallarta International Airport,Puerto Vallarta,PVR,MX,MX-JAL,America/Mexico_City,20.679913,-105.254391,"coastal, resort"
NLU,Aeropuerto Internacional General Felipe Ángeles,Mexico City,MEX,MX,MX-MEX,America/Mexico_City,19.7357,-99.0257,"city, history"
MTY,Monterrey International Airport,Monterrey,MTY,MX,MX-NLE,America/Monterrey,25.778521,-100.106989,"city, culture, tech"
CUN,Aeropuerto Internacional de Cancún,Cancún,CUN,MX,MX-ROO,America/Cancun,21.039444,-86.874304,"coastal, resort"
CZM,Aeropuerto Internacional de Cozumel,Ciudad de Cozumel,CZM,MX,MX-ROO,America/Cancun,20.511425,-86.930287,"coastal, resort"
MZT,General Rafael Buelna International Airport,Mazatlàn,MZT,MX,MX-SIN,America/Mazatlan,23.161474,-106.264572,"coastal, resort"
MID,Aeropuerto Internacional Manuel Crescencio Rejón,Ciudad de Mérida,MID,MX,MX-YUC,America/Merida,20.933384,-89.662621,"city, history, culture"
PTY,Tocumen International Airport,Tocumen,PTY,PA,PA-8,America/Panama,9.07136,-79.383499,"city, shopping"
SJU,Luis Munoz Marin International Airport,San Juan,SJU,PR,PR-U-A,America/Puerto_Rico,18.4394,-66.001801,"coastal, resort, foodie"
SAL,Monseñor Óscar Arnulfo Romero International Airport,San Salvador (San Luis Talpa),SAL,SV,SV-PA,America/El_Salvador,13.4409,-89.055702,"city, history"
SXM,Princess Juliana International Airport,Saint Martin,SXM,SX,SX-U-A,America/Lower_Princes,18.041,-63.108898,"coastal, resort"
PLS,Providenciales International Airport,Providenciales,PLS,TC,TC-PR,America/Grand_Turk,21.773697,-72.268321,"resort, coastal"
ANC,Ted Stevens Anchorage International Airport,Anchorage,ANC,US,US-AK,America/Anchorage,61.179004,-149.992561,"nature, history, culture"
PHX,Phoenix Sky Harbor International Airport,Phoenix,PHX,US,US-AZ,America/Phoenix,33.435302,-112.005905,"city, nature, resort"
LAX,Los Angeles International Airport,Los Angeles,LAX,US,US-CA,America/Los_Angeles,33.942501,-118.407997,"city, foodie, tech, shopping, culture, nature"
OAK,San Francisco Bay Oakland International Airport,Oakland,OAK,US,US-CA,America/Los_Angeles,37.720085,-122.221184,"city, coastal, tech"
ONT,Ontario International Airport,Ontario,ONT,US,US-CA,America/Los_Angeles,34.056,-117.600998,"city, foodie, tech, shopping, culture, nature"
SMF,Sacramento International Airport,Sacramento,SAC,US,US-CA,America/Los_Angeles,38.6954,-121.591003,"city, nature, nature"
SAN,San Diego International Airport,San Diego,SAN,US,US-CA,America/Los_Angeles,32.7336006165,-117.190002441,"city, coastal, nature, foodie"
