city_cd,dest_id,dest_name,dest_lat,dest_lon,image_url
AUA,-1307825,Oranjestad,12.52687,-70.03568,https://cf.bstatic.com/xdata/images/city/150x150/727664.jpg?k=f9cf6b959d8faaa425fbbba4702116c40e791c1125b9462e590cb7432446d6ed&o=
BON,-1750167,Bonn,50.7333,7.1,https://cf.bstatic.com/xdata/images/city/150x150/972575.jpg?k=b8eba5fc0cd3e1f267c9afb2fb3a88d0313290628ed88a8d1211a4c67a04ac3d&o=
NAS,20123908,Nashville,36.16223,-86.77435,https://cf.bstatic.com/xdata/images/city/150x150/976859.jpg?k=9ecf43ad95fab38140e5327020551244d84e4dc20df4dbaaa3682566f1b88ca6&o=
BZE,-1148788,Belize City,17.49521,-88.20174,https://cf.bstatic.com/xdata/images/city/150x150/114714.jpg?k=e94a5cca1968c9fcc5e5d68cae9f06e58e153826be9744821ab6534437c4f14d&o=
YEA,-564064,Edmonton,53.53436,-113.50651,https://cf.bstatic.com/xdata/images/city/150x150/653194.jpg?k=77a20262c110da1a25502b10ce5f672e6fd3815e3428389c911b10005eba2e99&o=
YYC,-561990,Calgary,51.04485,-114.055595,https://cf.bstatic.com/xdata/images/city/150x150/653168.jpg?k=ceda450b4ea447e9d2f8d04bf6bcc061bcfd571d4f85dfb02002dc9d863732e1&o=
YVR,-575268,Vancouver,49.282413,-123.12119,https://cf.bstatic.com/xdata/images/city/150x150/653280.jpg?k=22d48ac39a830a7f37538454fdb0857980fe22cda6ac1afd46d31db9453c0893&o=
YWG,-576096,Winnipeg,49.895115,-97.13837,https://cf.bstatic.com/xdata/images/city/150x150/972542.jpg?k=4a33c3c2a440031828c0e7cdbdcc69e61cf16326673be426bb69ae41ca817a73&o=
YYT,-572899,St. John's,47.56148,-52.71258,https://cf.bstatic.com/xdata/images/city/150x150/807336.jpg?k=5012a65086ebb412cc0078afdbd0cb464e0737b9c7c1f3fc460e762c33efae6d&o=
YHZ,-565805,Halifax,44.64843,-63.57497,https://cf.bstatic.com/xdata/images/city/150x150/653200.jpg?k=17c8ac302e6160b1d8c3542a0313704c492173cdf1a3c7b8628ea5ccd6c841de&o=
YOW,-570760,Ottawa,45.421703,-75.696144,https://cf.bstatic.com/xdata/images/city/150x150/653252.jpg?k=6e4d38e8d8a73bb839501ff0794ead84831fa0bd176c1f514bbd9bd9531892ce&o=
YTO,-574890,Toronto,43.652,-79.381966,https://cf.bstatic.com/xdata/images/city/150x150/971989.jpg?k=1e02f419fe4a28344bb98db67c4153ba6c9fb5b4837e2e038612cff9ea419c65&o=
YMQ,-569541,Montréal,45.509907,-73.56746,https://cf.bstatic.com/xdata/images/city/150x150/653229.jpg?k=f554e0de37db6377d588b6efd1ce431a2604f7f5a4627f922d928c0620469270&o=
YQB,-571851,Quebec City,46.813877,-71.20803,https://cf.bstatic.com/xdata/images/city/150x150/653254.jpg?k=d1d26de97e53390a1021498d052aae928e69a553b600dcece84099c70639d34e&o=
LIR,-1107872,Liberia,10.6333,-85.4333,https://cf.bstatic.com/xdata/images/city/150x150/935275.jpg?k=b0dc0b2eff7d8f8c95d3cc252d939255ef46322c532edfe2b2f5a303b3e41d94&o=
HAV,-1441598,Le Havre,49.49489,0.107723,https://cf.bstatic.com/xdata/images/city/150x150/647800.jpg?k=3053516733943c9494238acf425066dd8432a0d2764aa6ba428d5c829bcceebc&o=
VRA,-100897,Vranje,42.5514,21.9003,https://cf.bstatic.com/xdata/images/city/150x150/824019.jpg?k=b1bd2f2de7f539df05241f945682d0a5ea69d8fb7bfdc2feb45f982022074164&o=
CUR,-639568,Curitiba,-25.432821,-49.275867,https://cf.bstatic.com/xdata/images/city/150x150/653458.jpg?k=a5651277fcb47218ef87ddd63fb92612fccbc19e5c0e1e2021c2c015fdc59039&o=
SDQ,-3366242,Santo Domingo,18.473652,-69.897484,https://cf.bstatic.com/xdata/images/city/150x150/688770.jpg?k=c6b4560291a29010c17346edc745f760bde24a22eb844f177926d70ba202fd85&o=
PUJ,-3364907,Punta Cana,18.614904,-68.38839,https://cf.bstatic.com/xdata/images/city/150x150/688779.jpg?k=def43ae0127037a004ded67b24b8f978345b16a8d10edd0832dcabbed12f2fcd&o=
LRM,-3358188,La Romana,18.4273,-68.97346,https://cf.bstatic.com/xdata/images/city/150x150/735111.jpg?k=a8f579fd0d34714201f818d8a8a4a8ae6b7b42ab2681516b4a7f07239bc01787&o=
PTP,-1203568,Pointe-à-Pitre,16.24086,-61.53341,https://cf.bstatic.com/xdata/images/city/150x150/885759.jpg?k=eb0ef7dd94283fc99ffd311b3230372db59c1dbb4737dd6896834ef559e975b2&o=
GUA,-1669612,Guadalajara,20.67614,-103.347,https://cf.bstatic.com/xdata/images/city/150x150/682594.jpg?k=9571cf0f6d188e30e921f7027ffdf15c1bf51b060517d494097e2d37cf410ac7&o=
PAP,-2738671,Paphos,34.774822,32.422745,https://cf.bstatic.com/xdata/images/city/150x150/688236.jpg?k=419d14ec9a9b0f00b129b44b31908bafefa1c4bb4b3bf3865a3f460c570c9e08&o=
KIN,-3752438,Kingston,17.97122,-76.79281,https://cf.bstatic.com/xdata/images/city/150x150/688927.jpg?k=1a23656cff7214328f5618efb440cbae29417cb6d24661fb7e8c4646e6a1d311&o=
GCM,-1187463,George Town,19.28699,-81.3717,https://cf.bstatic.com/xdata/images/city/150x150/931670.jpg?k=3605e4ddc5c09ab828b2fa144e5e08f5776acd9fe6bcfb14594b6c8e536b0529&o=
SLU,-528852,Słupsk,54.46493,17.02807,https://cf.bstatic.com/xdata/images/city/150x150/633256.jpg?k=4382f49780b8a4605c78bf3c7cf80dca9f0e335754eac1e5d7b60a5502573979&o=
FDF,-1554082,Fort-de-France,14.60372,-61.07677,https://cf.bstatic.com/xdata/images/city/150x150/791519.jpg?k=73b954a8d8a5cce694d585bd706d6bd8a71b3df7b47d62370193ce92ff2e8820&o=
TIJ,-1705741,Tijuana,32.52882,-117.03683,https://cf.bstatic.com/xdata/images/city/150x150/682766.jpg?k=40e26fe245ec207a5278fa73422df36280548b52c2efe13436ebbb248a430ca7&o=
SJD,-1697788,San José del Cabo,23.05,-109.683,https://cf.bstatic.com/xdata/images/city/150x150/682732.jpg?k=cc5d55f49e74a2e86e4047e5b4eb1d9dfadfc08450a2ebf6f1dbc8aca949acfb&o=
MEX,-1658079,Mexico City,19.432863,-99.1333,https://cf.bstatic.com/xdata/images/city/150x150/682570.jpg?k=88217ed4855a6c17c8291f0a6e56a21b24bf334a8bb6ec350429f577ce9ae489&o=
